Altium Designer Pick and Place Locations
F:\projects\ham\H18-002\hw\rev1\.\Generate Files\Generates pick and place files\Pick Place for H18-002.csv

========================================================================================================================
File Design Information:

Date:       30/04/18
Time:       19:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"R42","1k","TopLayer","0402R","16.3750","3.8000","180","resistor small","16.3750","3.8000","16.8500","3.8000","Fitted"
"R31","47k","BottomLayer","0402R","12.8000","10.6000","180","resistor small","12.8000","10.6000","13.2750","10.6000","Fitted"
"C29","10n","BottomLayer","0402C","19.4000","9.3000","360","","19.4000","9.3000","18.9250","9.3000","Fitted"
"L2","820n","TopLayer","0603L","11.9000","2.4000","180","inductor small","11.9000","2.4000","12.7000","2.4000","Fitted"
"C25","470p","TopLayer","0402C","7.4000","1.1000","90","","7.4000","1.1000","7.4000","0.6250","Fitted"
"U1","MIC5207BM5","BottomLayer","SOT23-5","6.8000","11.0000","270","adjustable low dropout regulator","6.8000","11.0000","5.5300","10.0475","Fitted"
"R28","51","TopLayer","0402R","25.0000","4.9250","90","resistor small","25.0000","4.9250","25.0000","4.4500","Fitted"
"R27","51","TopLayer","0402R","26.6000","4.8000","360","resistor small","26.6000","4.8000","26.1250","4.8000","Fitted"
"R2","47k","BottomLayer","0402R","8.1000","13.0000","180","resistor small","8.1000","13.0000","8.5750","13.0000","Fitted"
"R1","150k","BottomLayer","0402R","9.3000","11.4000","270","resistor small","9.3000","11.4000","9.3000","11.8750","Fitted"
"C24","1u 10V","TopLayer","0402C","22.0000","1.0000","270","","22.0000","1.0000","22.0000","1.4750","Fitted"
"C23","1u 10V","TopLayer","0402C","23.6000","1.0000","90","","23.6000","1.0000","23.6000","0.5250","Fitted"
"C22","1u 10V","TopLayer","0402C","16.3000","1.3000","270","","16.3000","1.3000","16.3000","1.7750","Fitted"
"C21","1u 10V","TopLayer","0402C","23.8000","3.0000","270","","23.8000","3.0000","23.8000","3.4750","Fitted"
"C2","100p","BottomLayer","0402C","10.4000","12.5000","90","","10.4000","12.5000","10.4000","12.0250","Fitted"
"C1","1u 10V","TopLayer","0402C","10.6000","13.0000","180","","10.6000","13.0000","11.0750","13.0000","Fitted"
"J12","SWC","BottomLayer","TESTPOINT_SMALL","22.6000","9.3000","180","test point","22.6000","9.3000","22.6000","9.3000","Fitted"
"J1","SWD","BottomLayer","TESTPOINT_SMALL","22.6000","7.7000","180","test point","22.6000","7.7000","22.6000","7.7000","Fitted"
"J11","GND","TopLayer","GPPAD3R","1.8000","7.2000","0","test point","1.8000","7.2000","1.8000","7.2000","Fitted"
"J10","GND","TopLayer","GPPAD3R","27.2000","6.2000","0","test point","27.2000","6.2000","27.2000","6.2000","Fitted"
"J9","GND","TopLayer","GPPAD3R","27.2000","1.2000","0","test point","27.2000","1.2000","27.2000","1.2000","Fitted"
"J8","GND","TopLayer","GPPAD3R","1.8000","3.1000","0","test point","1.8000","3.1000","1.8000","3.1000","Fitted"
"R26","10","TopLayer","0402R","16.5000","11.0000","180","resistor small","16.5000","11.0000","16.9750","11.0000","Fitted"
"Z1","STM32F042F4P6","TopLayer","TSSOP20_4.4MM","21.2000","8.4000","270","STM32 M0 TSSOP","21.2000","8.4000","24.1250","11.2750","Fitted"
"U4","MIC5207BM5","BottomLayer","SOT23-5","19.6000","1.6000","270","adjustable low dropout regulator","19.6000","1.6000","18.3300","0.6475","Fitted"
"U3","MIC5207BM5","TopLayer","SOT23-5","19.2000","1.6000","270","adjustable low dropout regulator","19.2000","1.6000","20.4700","0.6475","Fitted"
"U2","ADF4153ALFSCP","TopLayer","ADI-CP-20-6","12.6000","8.0000","0","freq synthesiser","12.6000","8.0000","10.6750","9.0000","Fitted"
"R25","47k","TopLayer","0402R","18.8000","3.6000","360","resistor small","18.8000","3.6000","18.3250","3.6000","Fitted"
"R24","47k","BottomLayer","0402R","23.0000","1.9000","270","resistor small","23.0000","1.9000","23.0000","2.3750","Fitted"
"R23","220k","TopLayer","0402R","16.3000","2.8000","180","resistor small","16.3000","2.8000","16.7750","2.8000","Fitted"
"R22","62k","BottomLayer","0402R","22.0000","1.8000","270","resistor small","22.0000","1.8000","22.0000","2.2750","Fitted"
"R21","51","TopLayer","0402R","24.8000","3.0000","90","resistor small","24.8000","3.0000","24.8000","2.5250","Fitted"
"R20","10","TopLayer","0402R","9.4000","4.2000","360","resistor small","9.4000","4.2000","8.9250","4.2000","Fitted"
"R18","22","TopLayer","0402R","27.1000","11.0000","180","resistor small","27.1000","11.0000","27.5750","11.0000","Fitted"
"R17","10","BottomLayer","0402R","20.7000","5.6000","180","resistor small","20.7000","5.6000","21.1750","5.6000","Fitted"
"R16","47k","BottomLayer","0402R","21.6000","7.7000","90","resistor small","21.6000","7.7000","21.6000","7.2250","Fitted"
"R15","22","TopLayer","0402R","27.1000","9.9000","180","resistor small","27.1000","9.9000","27.5750","9.9000","Fitted"
"R14","10","TopLayer","0402R","22.6000","3.8000","90","resistor small","22.6000","3.8000","22.6000","3.3250","Fitted"
"R13","51","BottomLayer","0402R","15.0000","2.6000","270","resistor small","15.0000","2.6000","15.0000","3.0750","Fitted"
"R12","4k7","BottomLayer","0402R","25.0000","10.7000","90","resistor small","25.0000","10.7000","25.0000","10.2250","Fitted"
"R11","1k","TopLayer","0402R","16.2000","6.8000","180","resistor small","16.2000","6.8000","16.6750","6.8000","Fitted"
"R10","1k","TopLayer","0402R","16.2000","7.8000","180","resistor small","16.2000","7.8000","16.6750","7.8000","Fitted"
"R9","51","TopLayer","0402R","4.3000","6.8000","180","resistor small","4.3000","6.8000","4.7750","6.8000","Fitted"
"R8","1k","TopLayer","0402R","16.2000","8.8000","180","resistor small","16.2000","8.8000","16.6750","8.8000","Fitted"
"R7","1k","TopLayer","0402R","19.6000","12.8000","360","resistor small","19.6000","12.8000","19.1250","12.8000","Fitted"
"R6","51","TopLayer","0402R","16.2000","9.8000","180","resistor small","16.2000","9.8000","16.6750","9.8000","Fitted"
"R5","5k1","TopLayer","0402R","10.8000","11.8000","180","resistor small","10.8000","11.8000","11.2750","11.8000","Fitted"
"R4","47k","TopLayer","0603R","5.6000","8.3000","180","resistor small","5.6000","8.3000","6.4000","8.3000","Fitted"
"R3","10k","TopLayer","0603R","1.6000","8.8000","180","resistor small","1.6000","8.8000","2.4000","8.8000","Fitted"
"JP4","blob","TopLayer","BLOBJUMPER","12.4000","4.2000","270","blob jumper","12.4000","4.2000","12.4000","4.7500","Fitted"
"JP2","blob","BottomLayer","BLOBJUMPER","24.8000","8.6000","90","blob jumper","24.8000","8.6000","24.8000","8.0500","Fitted"
"JP1","blob","TopLayer","BLOBJUMPER","4.5000","5.6000","360","blob jumper","4.5000","5.6000","3.9500","5.6000","Fitted"
"J7","INV","TopLayer","GPPAD3R","27.2000","3.2000","0","test point","27.2000","3.2000","27.2000","3.2000","Fitted"
"J6","USBDM","TopLayer","GPPAD3R","27.2000","12.4000","0","test point","27.2000","12.5000","27.2000","12.4000","Fitted"
"J5","USBDP","TopLayer","GPPAD3R","27.2000","8.4000","0","test point","27.2000","8.4000","27.2000","8.4000","Fitted"
"J4","PAD","TopLayer","GPPAD3R","1.8000","1.2000","0","test point","1.8000","1.2000","1.8000","1.2000","Fitted"
